race_no,lane,affiliation,category
1,1,E.R.C.C,D
1,2,愛知東郷ボートクラブ,D
1,3,ボート団塊号 (だんかいごう),E
1,4,RC神戸,F
1,5,瀬田漕艇クラブ,F
1,6,浜寺マスターズクラブ,F
2,2,淡青会マスターズ,G
2,3,浜寺マスターズクラブ,G
2,4,三菱ボートクラブシニア,G
2,5,ボート団塊号 (だんかいごう),G
3,2,でん助・でん子,E
3,3,浜寺マスターズクラブ,E
3,4,鶴見川マスターズローイングクラブ,E
3,5,富士山ローイングクラブ,E
4,2,勘八峡・昇龍ローイングクラブ,E
4,3,小野湖ローイングクラブ,E
4,4,レジェンド島根,E
4,5,四神会,E
5,1,多摩川ローイングを楽しむ会,G
5,2,瀬田漕艇クラブ,G
5,3,浜寺マスターズクラブ,G
5,4,鵬RC,G
5,5,碧水会,G
5,6,瀬田漕艇クラブ,G
6,2,鶴見川マスターズローイングクラブ,J
6,3,諏訪マスターズ,J
6,4,四神会,K
6,5,浜寺マスターズクラブ,K
7,1,WKマスターズ,H
7,2,魚崎ローイングクラブ,H
7,3,四神会,H
7,4,瀬田漕艇クラブ,H
7,5,米子漕艇クラブ,H
8,1,日本製鉄株式会社八幡ボート部,H
8,2,濃青会鶴見川,H
8,3,パルテ会,H
8,4,パルテ会,H
8,5,新貞山ローイングクラブ,H
9,1,幾星霜,A
9,2,旭丘漕友会,A
9,3,ちばるたん,A
9,4,横浜漕艇倶楽部埼玉,B
9,5,E.R.C.C,B
10,1,浜寺マスターズクラブ,F
10,2,キラーホエール,F
10,3,瀬田漕艇クラブ,G
10,4,瀬田漕艇クラブ,G
10,5,瀬田漕艇クラブ,H
11,2,稲門艇友会,F
11,3,茨水会,F
11,4,新貞山ローイングクラブ,F
11,5,大阪公立大学紅臙会,F
12,1,魚崎ローイングクラブ,F
12,2,淡青会マスターズ,F
12,3,ワイルドローバーローイングクラブ,F
12,4,WITH,F
12,5,ボート団塊号 (だんかいごう),F
13,2,瀬田漕艇クラブ,E
13,3,魚崎ローイングクラブ,E
13,4,瀬田漕艇クラブ,E
14,1,淡青会マスターズ,J
14,2,浜寺マスターズクラブ,J
14,3,四神会,J
14,4,濃青会鶴見川,J
14,5,WKマスターズ,K
14,6,四神会,L
15,3,太田川ボートクラブ,C
16,1,瀬田漕艇クラブ,E
16,2,多摩川ローイングを楽しむ会,E
16,3,RC神戸,E
16,4,鶴見川マスターズローイングクラブ,F
16,5,三菱ボートクラブシニア,G
17,1,浜寺マスターズクラブ,I
17,2,ボート団塊号 (だんかいごう),I
17,3,名古屋大学艇友会DE,I
17,4,PENTA,I
17,5,ボート団塊号 (だんかいごう),I
18,2,佐鳴漕友会(静岡大学),G
18,3,パルテ会,G
18,4,ボート団塊号 (だんかいごう),G
18,5,稲門艇友会,G
19,2,日本製鉄株式会社八幡ボート部,D
19,3,魚崎ローイングクラブ,D
19,4,富士山ローイングクラブ,D
19,5,御殿浜ローイングクラブ,D
20,1,四神会,G
20,2,魚崎ローイングクラブ,G
20,3,魚崎ローイングクラブ,G
20,4,医王会ローイングクラブ,G
20,5,小野湖ローイングクラブ,G
20,6,櫂朋会,G
21,2,愛知東郷ボートクラブ,B
21,3,浜寺マスターズクラブ,C
21,4,パルテ会,C
21,5,キラーホエール,C
22,2,鵬RC,G
22,3,PENTA,G
22,4,学習院桜艇会,G
22,5,パルテ会,G
23,1,太田川ボートクラブ,E
23,2,三菱重工高砂,E
23,3,白山工業ローイングクラブ,E
23,4,魚崎ローイングクラブ,E
23,5,魚崎ローイングクラブ,E
24,3,インテック,D
24,4,E.R.C.C,D
25,2,多摩川ローイングを楽しむ会,F
25,3,松江ローイングクラブ,F
25,4,加賀梨RC,F
25,5,パルテ会,F
26,2,ボート団塊号 (だんかいごう),E
26,3,四神会,E
26,4,九州照葉ローイングクラブ,E
27,2,名古屋ローイングクラブ,H
27,3,ボート団塊号 (だんかいごう),H
27,4,ボート団塊号 (だんかいごう),H
28,2,瀬田漕艇クラブ,G
28,3,四神会,G
28,4,関東名島会,G
28,5,新貞山ローイングクラブ,G
29,1,新潟大学漕艇部 緑悠会,C
29,2,九州照葉ローイングクラブ,C
29,3,でん助・でん子,D
29,4,レガッタクラブフレンドシップ RCF,E
29,5,パルテ会,E
30,1,魚崎ローイングクラブ,J
30,2,岡井・柴原,J
30,3,小野湖ローイングクラブ,K
30,4,諏訪マスターズ,K
30,5,四神会,L
30,6,四神会,M
31,3,ちばるたん,A
31,4,ミネベアミツミ,B
32,1,医王会ローイングクラブ,A
32,2,ばらとDRCマスターズ,B
32,3,パルテ会,B
32,4,多摩川ローイングを楽しむ会,C
32,5,浜寺マスターズクラブ,C
32,6,キラーホエール,C
33,2,キラーホエール,F
33,3,レジェンド島根,F
33,4,茨水会,F
33,5,駿河・伊豆ローイングクラブ,F
34,1,新潟大学漕艇部 緑悠会,A
34,2,愛知東郷ボートクラブ,A
34,3,日本製鉄,A
34,4,ばらとDRCマスターズ,A
34,5,橙紺会659,A
34,6,湖猿ローイングチーム,A
35,2,新潟大学漕艇部 緑悠会,C
35,3,浜寺マスターズクラブ,C
35,4,愛知東郷ボートクラブ,C
35,5,前川ローイングクラブ,C
