race_no,lane,crew_name,affiliation,category
1,1,愛知東郷ボートクラブ,愛知東郷ボートクラブ,D
1,2,E.R.C.C W4X+ D,E.R.C.C,D
1,3,宮ヶ瀬,ボート団塊号 (だんかいごう),E
1,4,RC神戸 なでしこOhバーン,RC神戸,F
1,5,浜寺マスターズアマゾネスB,浜寺マスターズクラブ,F
1,6,瀬田漕艇クラブ,瀬田漕艇クラブ,F
2,2,浜寺マスターズクラブ66,浜寺マスターズクラブ,G
2,3,三菱 G4+,三菱ボートクラブシニア,G
2,4,宮ヶ瀬 やまびこ,ボート団塊号 (だんかいごう),G
2,5,淡青会連合,淡青会マスターズ,G
3,2,浜寺マスターズクラブ56,浜寺マスターズクラブ,E
3,3,富士山ローイングクラブ,富士山ローイングクラブ,E
3,4,でん助,でん助・でん子,E
3,5,TMRC はやて,鶴見川マスターズローイングクラブ,E
4,2,小野湖ローイングクラブ,小野湖ローイングクラブ,E
4,3,レジェンド島根,レジェンド島根,E
4,4,一橋四神会ミドル,四神会,E
4,5,勘八峡・昇龍ローイングクラブ,勘八峡・昇龍ローイングクラブ,E
5,1,高田(多摩川ローイングを楽しむ会),多摩川ローイングを楽しむ会,G
5,2,川村(鵬RC),鵬RC,G
5,3,江里(浜寺マスターズクラブ),浜寺マスターズクラブ,G
5,4,大野(瀬田漕艇クラブ),瀬田漕艇クラブ,G
5,5,小寺(碧水会),碧水会,G
5,6,鵜瀬(瀬田漕艇クラブ),瀬田漕艇クラブ,G
6,2,TMRC ひろせ,鶴見川マスターズローイングクラブ,J
6,3,諏訪マスターズ,諏訪マスターズ,J
6,4,浜寺マスターズレジェンド,浜寺マスターズクラブ,K
6,5,一橋四神会朱雀,四神会,K
7,1,難波(魚崎ローイングクラブ),魚崎ローイングクラブ,H
7,2,ソウル(WKマスターズ),WKマスターズ,H
7,3,小玉(米子漕艇クラブ),米子漕艇クラブ,H
7,4,鴨井(四神会),四神会,H
7,5,下村(瀬田漕艇クラブ),瀬田漕艇クラブ,H
8,1,小坪(日本製鉄株式会社八幡ボート部),日本製鉄株式会社八幡ボート部,H
8,2,熊谷(パルテ会),パルテ会,H
8,3,舟山(新貞山ローイングクラブ),新貞山ローイングクラブ,H
8,4,松尾(濃青会鶴見川),濃青会鶴見川,H
8,5,増崎(パルテ会),パルテ会,H
9,1,ちばるたん,ちばるたん,A
9,2,幾星霜,幾星霜,A
9,3,旭丘漕友会,旭丘漕友会,A
9,4,ドラちゃんズ2026,横浜漕艇倶楽部埼玉,B
9,5,E.R.C.C M4X+ B,E.R.C.C,B
10,1,住谷(キラーホエール),キラーホエール,F
10,2,勝本(浜寺マスターズクラブ),浜寺マスターズクラブ,F
10,3,上坂(瀬田漕艇クラブ),瀬田漕艇クラブ,G
10,4,中出(瀬田漕艇クラブ),瀬田漕艇クラブ,G
10,5,長瀬(瀬田漕艇クラブ),瀬田漕艇クラブ,H
11,2,大阪公立大学紅臙会ミドル,大阪公立大学紅臙会,F
11,3,新貞山ローイングクラブ,新貞山ローイングクラブ,F
11,4,稲門ミドル,稲門艇友会 稲門ミドル,F
11,5,茨水会,茨水会,F
12,1,魚崎ローイングクラブ,魚崎ローイングクラブ,F
12,2,淡青会連合,淡青会マスターズ,F
12,3,ボート団塊号 玄武,ボート団塊号 (だんかいごう),F
12,4,PENTA WITH YOU,WITH YOU,F
12,5,浜寺ワイルドローバーローイングクラブ,ワイルドローバーローイングクラブ,F
13,2,瀬田漕艇クラブWU,瀬田漕艇クラブ,E
13,3,魚崎ローイングクラブ,魚崎ローイングクラブ,E
13,4,瀬田漕艇クラブ アツアツ,瀬田漕艇クラブ,E
14,1,一橋四神会J,四神会,J
14,2,淡青会マスターズ,淡青会マスターズ,J
14,3,浜寺マスターズクラブ81,浜寺マスターズクラブ,J
14,4,濃青会鶴見川金閣,濃青会鶴見川,J
14,5,WKマスターズ KING,WKマスターズ,K
14,6,四神会三菱L,四神会,L
15,1,多摩川RC(E),多摩川ローイングを楽しむ会,E
15,2,RC神戸 なでしこOhバーン,RC神戸,E
15,3,瀬田漕艇クラブ,瀬田漕艇クラブ,E
15,4,TMRC つるみっこ,鶴見川マスターズローイングクラブ,F
15,5,三菱 WG8+,三菱ボートクラブシニア,G
