race_no,event_code,event_name,category,age_group,round,date,time,course_length
1,W4X+,女子舵手付きクォドルプル,W,D・E・F,FA,2026/5/23,7:00,
2,M4+,男子舵手付きフォア,M,G,FA,2026/5/23,7:08,
3,M8+,男子エイト,M,E,FA,2026/5/23,7:16,
4,M8+,男子エイト,M,E,FA,2026/5/23,7:24,
5,M1X,男子シングルスカル,M,G,FA,2026/5/23,7:32,
6,M4X+,男子舵手付きクォドルプル,M,J・K,FA,2026/5/23,7:40,
7,M1X,男子シングルスカル,M,H,FA,2026/5/23,7:48,
8,M1X,男子シングルスカル,M,H,FA,2026/5/23,7:56,
9,M4X+,男子舵手付きクォドルプル,M,A・B,FA,2026/5/23,8:04,
10,W1X,女子シングルスカル,W,F・G・H,FA,2026/5/23,8:12,
11,M8+,男子エイト,M,F,FA,2026/5/23,8:24,
12,M8+,男子エイト,M,F,FA,2026/5/23,8:38,
13,M2X,男子ダブルスカル,M,E,FA,2026/5/23,8:52,
14,M8+,男子エイト,M,J・K・L,FA,2026/5/23,9:08,
15,W8+,女子エイト,W,E・F・G,FA,2026/5/23,9:16,
16,M2X,男子ダブルスカル,M,I,FA,2026/5/23,9:24,
17,M4+,男子舵手付きフォア,M,G,FA,2026/5/23,9:32,
18,M2X,男子ダブルスカル,M,D,FA,2026/5/23,9:40,
19,M1X,男子シングルスカル,M,G,FA,2026/5/23,9:48,
20,W8+,女子エイト,W,B・C,FA,2026/5/23,9:56,
21,M2X,男子ダブルスカル,M,G,FA,2026/5/23,10:04,
22,M1X,男子シングルスカル,M,E,FA,2026/5/23,10:12,
23,W2X,女子ダブルスカル,W,D,FA,2026/5/23,10:22,
24,M1X,男子シングルスカル,M,F,FA,2026/5/23,10:32,
25,M4+,男子舵手付きフォア,M,E,FA,2026/5/23,10:42,
26,M4+,男子舵手付きフォア,M,H,FA,2026/5/23,10:52,
27,M2X,男子ダブルスカル,M,G,FA,2026/5/23,11:02,
28,M4X+,男子舵手付きクォドルプル,M,C・D・E,FA,2026/5/23,11:12,
29,M2X,男子ダブルスカル,M,J・K・L・M,FA,2026/5/23,11:22,
30,M8+,男子エイト,M,A・B,FA,2026/5/23,11:34,
31,M4+,男子舵手付きフォア,M,F,FA,2026/5/23,11:46,
32,W4X+,女子舵手付きクォドルプル,W,A・B・C,FA,2026/5/23,11:58,
33,M1X,男子シングルスカル,M,A・Aパラ,FA,2026/5/23,12:10,
34,M2X,男子ダブルスカル,M,C,FA,2026/5/23,12:22,
35,M8+,男子エイト,M,G,FA,2026/5/23,12:34,
36,M8+,男子エイト,M,G,FA,2026/5/23,12:44,
37,M8+,男子エイト,M,G,FA,2026/5/23,12:54,
38,M1X,男子シングルスカル,M,F,FA,2026/5/23,13:04,
39,M1X,男子シングルスカル,M,J・K・L・N,FA,2026/5/23,13:14,
40,W4X+,女子舵手付きクォドルプル,W,G・H,FA,2026/5/23,13:24,
41,M8+,男子エイト,M,H,FA,2026/5/23,13:34,
42,M4X+,男子舵手付きクォドルプル,M,H,FA,2026/5/23,13:44,
43,M8+,男子エイト,M,D,FA,2026/5/23,13:54,
44,W4+,女子舵手付きフォア,W,A・D,FA,2026/5/23,14:04,
45,M8+,男子エイト,M,D,FA,2026/5/23,14:14,
46,M4X+,男子舵手付きクォドルプル,M,F,FA,2026/5/23,14:24,
47,M4X+,男子舵手付きクォドルプル,M,F,FA,2026/5/23,14:34,
48,M8+,男子エイト,M,H,FA,2026/5/23,14:44,
49,M1X,男子シングルスカル,M,D,FA,2026/5/23,14:52,
50,M1X,男子シングルスカル,M,E,FA,2026/5/23,15:00,
51,W2X,女子ダブルスカル,W,A・B・C,FA,2026/5/23,15:08,
52,M4+,男子舵手付きフォア,M,C・F,FA,2026/5/23,15:16,
53,M8+,男子エイト,M,C,FA,2026/5/23,15:24,
54,M8+,男子エイト,M,I,FA,2026/5/23,15:32,
55,M2X,男子ダブルスカル,M,H,FA,2026/5/23,15:42,
56,M4X+,男子舵手付きクォドルプル,M,G,FA,2026/5/23,15:52,
57,M1X,男子シングルスカル,M,C,FA,2026/5/23,16:02,
58,M4X+,男子舵手付きクォドルプル,M,G,FA,2026/5/23,16:12,
59,M1X,男子シングルスカル,M,D,FA,2026/5/23,16:22,
60,W2X,女子ダブルスカル,W,G・H・J,FA,2026/5/23,16:32,
61,M4+,男子舵手付きフォア,M,A・B,FA,2026/5/23,16:42,
62,M1X,男子シングルスカル,M,I,FA,2026/5/23,16:52,
63,M4X+,男子舵手付きクォドルプル,M,I,FA,2026/5/23,17:02,
64,M2X,男子ダブルスカル,M,F,FA,2026/5/23,17:12,
65,M2X,男子ダブルスカル,M,F,FA,2026/5/23,17:22,
66,M1X,男子シングルスカル,M,B,FA,2026/5/23,17:32,
67,M2X,男子ダブルスカル,M,A・B,FA,2026/5/23,17:42,
68,W1X,女子シングルスカル,W,A・B・C・D・E,FA,2026/5/23,17:52,
69,M2X,男子ダブルスカル,M,H,FA,2026/5/23,18:02,
70,W1X,女子シングルスカル,W,I・J・K,FA,2026/5/23,18:12,
71,M4+,男子舵手付きフォア,M,D,FA,2026/5/23,18:22,
72,X2X,混成ダブルスカル,X,F,FA,2026/5/24,7:00,
73,X2X,混成ダブルスカル,X,F,FA,2026/5/24,7:12,
74,X4X+,混成舵手付きクォドルプル,X,A・B,FA,2026/5/24,7:24,
75,X4X+,混成舵手付きクォドルプル,X,C,FA,2026/5/24,7:36,
76,X4X+,混成舵手付きクォドルプル,X,D,FA,2026/5/24,7:51,
77,X2X,混成ダブルスカル,X,G,FA,2026/5/24,8:06,
78,X4X+,混成舵手付きクォドルプル,X,H・I,FA,2026/5/24,8:21,
79,X4X+,混成舵手付きクォドルプル,X,E,FA,2026/5/24,8:33,
80,X2X,混成ダブルスカル,X,A,FA,2026/5/24,8:45,
81,X8+,混成エイト,X,A・C,FA,2026/5/24,8:57,
82,X8+,混成エイト,X,G・H・J,FA,2026/5/24,9:09,
83,X2X,混成ダブルスカル,X,C,FA,2026/5/24,9:21,
84,X2X,混成ダブルスカル,X,D・E,FA,2026/5/24,9:33,
85,X4X+,混成舵手付きクォドルプル,X,F,FA,2026/5/24,9:45,
86,X2X,混成ダブルスカル,X,C,FA,2026/5/24,9:57,
87,X2X,混成ダブルスカル,X,H・I・L,FA,2026/5/24,10:12,
88,X8+,混成エイト,X,D,FA,2026/5/24,10:27,
89,X8+,混成エイト,X,E・F,FA,2026/5/24,10:42,
90,MNF+,男子ナックルフォア,M,C,FA,2026/5/24,11:07,
91,MNF+,男子ナックルフォア,M,A・Aパラ,FA,2026/5/24,11:15,
92,MNF+,男子ナックルフォア,M,B,FA,2026/5/24,11:23,
93,MNF+,男子ナックルフォア,M,D,FA,2026/5/24,11:31,
94,XNF+,混成ナックルフォア,X,E,FA,2026/5/24,11:39,
95,XNF+,混成ナックルフォア,X,H・I・K,FA,2026/5/24,11:47,
96,XNF+,混成ナックルフォア,X,F,FA,2026/5/24,11:55,
97,XNF+,混成ナックルフォア,X,D,FA,2026/5/24,12:03,
98,XNF+,混成ナックルフォア,X,G,FA,2026/5/24,12:11,
99,XNF+,混成ナックルフォア,X,G,FA,2026/5/24,12:19,
100,XNF+,混成ナックルフォア,X,C,FA,2026/5/24,12:27,
101,XNF+,混成ナックルフォア,X,F,FA,2026/5/24,12:35,
102,XNF+,混成ナックルフォア,X,A,FA,2026/5/24,12:43,
103,MNF+,男子ナックルフォア,M,G,FA,2026/5/24,12:51,
104,MNF+,男子ナックルフォア,M,G,FA,2026/5/24,12:59,
105,MNF+,男子ナックルフォア,M,G,FA,2026/5/24,13:07,
106,MNF+,男子ナックルフォア,M,I,FA,2026/5/24,13:15,
107,MNF+,男子ナックルフォア,M,I,FA,2026/5/24,13:23,
108,MNF+,男子ナックルフォア,M,I,FA,2026/5/24,13:31,
109,WNF+,女子ナックルフォア,W,C,FA,2026/5/24,13:39,
110,WNF+,女子ナックルフォア,W,D,FA,2026/5/24,13:47,
111,WNF+,女子ナックルフォア,W,F・G,FA,2026/5/24,13:55,
112,MNF+,男子ナックルフォア,M,H,FA,2026/5/24,14:03,
113,MNF+,男子ナックルフォア,M,H,FA,2026/5/24,14:11,
114,MNF+,男子ナックルフォア,M,H,FA,2026/5/24,14:19,
115,MNF+,男子ナックルフォア,M,E,FA,2026/5/24,14:27,
116,MNF+,男子ナックルフォア,M,E,FA,2026/5/24,14:35,
117,MNF+,男子ナックルフォア,M,E,FA,2026/5/24,14:43,
118,MNF+,男子ナックルフォア,M,J,FA,2026/5/24,14:51,
119,MNF+,男子ナックルフォア,M,J,FA,2026/5/24,14:59,
120,MNF+,男子ナックルフォア,M,K・L・M,FA,2026/5/24,15:07,
121,MNF+,男子ナックルフォア,M,F,FA,2026/5/24,15:15,
122,MNF+,男子ナックルフォア,M,F,FA,2026/5/24,15:23,
123,MNF+,男子ナックルフォア,M,F,FA,2026/5/24,15:31,
